assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
137249060,135671,Coregonus hiemalis,FR,France,Extinct Post-1500,Native,"[""Resident""]",
137269246,60375,Squalius palaciosi,ES,Spain,Extinct Post-1500,Native,"[""Resident""]",Yes
137334363,135552,Salmo schiefermuelleri,AT,Austria,Extinct Post-1500,Native,"[""Resident""]",Yes
232856457,232856397,Coregonus obliterus,CH,Switzerland,Extinct Post-1500,Native,"[""Resident""]",Yes
61462199,231,Acipenser dabryanus,CN,China,Extinct Post-1500,Native,"[""Resident""]",
54357699,3172,Incilius periglenes,CR,Costa Rica,Extinct Post-1500,Native,"[""Resident""]",
169838772,169838762,Schizothorax saltans,KZ,Kazakhstan,Extinct Post-1500,Native,"[""Resident""]",
192624320,12751,Barbodes resimus,PH,Philippines,Extinct Post-1500,Native,"[""Resident""]",
192625045,18886,Barbodes clemensi,PH,Philippines,Extinct Post-1500,Native,"[""Resident""]",Yes
192625192,18888,Barbodes disa,PH,Philippines,Extinct Post-1500,Native,"[""Resident""]",
192625334,18889,Barbodes flavifuscus,PH,Philippines,Extinct Post-1500,Native,"[""Resident""]",
192625464,18890,Barbodes herrei,PH,Philippines,Extinct Post-1500,Native,"[""Resident""]",
192625645,18891,Barbodes katolo,PH,Philippines,Extinct Post-1500,Native,"[""Resident""]",No
192625785,18892,Barbodes lanaoensis,PH,Philippines,Extinct Post-1500,Native,,
192626206,18901,Barbodes tras,PH,Philippines,Extinct Post-1500,Native,"[""Resident""]",
192626589,18904,Barbodes manalak,PH,Philippines,Extinct Post-1500,Native,,
192626734,20687,Barbodes palata,PH,Philippines,Extinct Post-1500,Native,"[""Resident""]",
192624463,15633,Barbodes palaemophagus,PH,Philippines,Extinct Post-1500,Native,"[""Resident""]",
192624604,15634,Barbodes truncatulus,PH,Philippines,Extinct Post-1500,Native,"[""Resident""]",
192624745,18882,Barbodes amarus,PH,Philippines,Extinct Post-1500,Native,"[""Resident""]",
192624901,18884,Barbodes baoulan,PH,Philippines,Extinct Post-1500,Native,,
192624182,4135,Barbodes pachycheilus,PH,Philippines,Extinct Post-1500,Native,"[""Resident""]",
63869216,59445,Hypselotriton wolterstorffi,CN,China,Extinct Post-1500,Native,"[""Resident""]",
89815479,157719927,Chitala lopis,ID,Indonesia,Extinct Post-1500,Native,"[""Resident""]",
54365740,56413,Craugastor anciano,HN,Honduras,Extinct Post-1500,Native,"[""Resident""]",
157724204,23156,Xiphophorus couchianus,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
1998432,191696,Allotoca goslinei,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
2757376,20285,Skiffia francesae,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
110463483,110463465,Oncorhynchus kawamurae,JP,Japan,Extinct Post-1500,Native,"[""Resident""]",
130025081,14891,Notropis orca,US,United States,Extinct Post-1500,Native,"[""Resident""]",
130025081,14891,Notropis orca,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
3145753,8432,Evarra eigenmanni,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
546437,14881,Notropis amecae,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
3145804,8433,Evarra tlahuacensis,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
3145702,8431,Evarra bustamantei,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
2774500,21120,Stypodon signifer,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
1970358,191116,Atherinella callida,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
546490,14882,Notropis aulidion,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
21420776,22379,Tropodiaptomus ctenopus,MG,Madagascar,Extinct Post-1500,Native,"[""Resident""]",
21421268,611,Afrocyclops pauliani,MG,Madagascar,Extinct Post-1500,Native,"[""Resident""]",
273147385,273147335,Mastigodiaptomus galapagoensis,EC,Ecuador,Extinct Post-1500,Native,"[""Resident""]",
