assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
221484768,16318,Partula lutea,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221484856,16322,Partula producta,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221484943,16324,Partula protracta,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221485053,16327,Partula remota,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221485140,16334,Partula bilineata,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221485406,16272,Partula aurantia,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221486037,16349,Partula umbilicata,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
168631084,168623053,Syzygium humblotii,YT,Mayotte,Extinct Post-1500,Native,"[""Resident""]",
78447626,21530,Taudactylus diurnus,AU,Australia,Extinct Post-1500,Native,"[""Resident""]",
102425860,102425846,Partula cootei,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
119136043,16295,Partula varia,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221485506,16338,Partula dolorosa,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221485595,16339,Partula eremita,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221485863,16341,Partula planilabrum,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221485950,16343,Partula sagitta,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
172203252,55461,Boana cymbalum,BR,Brazil,Extinct Post-1500,Native,"[""Resident""]",
172621499,17078,Phrynomedusa fimbriata,BR,Brazil,Extinct Post-1500,Native,"[""Resident""]",
184207893,44080,Brighamia insignis,US,United States,Extinct Post-1500,Native,,
201053885,201053876,Peperomia degeneri,US,United States,Extinct Post-1500,Native,"[""Resident""]",
208158571,22696558,Tachybaptus rufolavatus,MG,Madagascar,Extinct Post-1500,Native,"[""Resident""]",Yes
221205722,22696577,Podilymbus gigas,GT,Guatemala,Extinct Post-1500,Native,"[""Resident""]",Unknown
221206875,22696615,Podiceps andinus,CO,Colombia,Extinct Post-1500,Native,"[""Resident""]",Unknown
226964244,22680496,Mergus australis,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",Unknown
227794604,22678955,Coturnix novaezelandiae,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",Unknown
227981466,62239833,Chenonetta finschi,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",
228024595,22691495,Ptilinopus mercierii,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",Unknown
228030708,22733394,Diaphorapteryx hawkinsi,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",Unknown
228150824,22690222,Columba jouyi,JP,Japan,Extinct Post-1500,Native,"[""Resident""]",Unknown
228153391,22690218,Columba versicolor,JP,Japan,Extinct Post-1500,Native,"[""Resident""]",Unknown
228156835,22720622,Carpodacus ferreorostris,JP,Japan,Extinct Post-1500,Native,"[""Resident""]",Unknown
228158791,22708535,Zoothera terrestris,JP,Japan,Extinct Post-1500,Native,"[""Resident""]",Unknown
228867194,22728873,Cabalus modestus,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",Unknown
228869111,22728740,Hypotaenidia poeciloptera,FJ,Fiji,Extinct Post-1500,Native,"[""Resident""]",Unknown
229313877,22692455,Hypotaenidia dieffenbachii,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",Unknown
229345916,22692450,Hypotaenidia pacifica,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",Unknown
229347436,22692672,Zapornia palmeri,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
229349404,22692693,Zapornia sandwichensis,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
229356593,22728757,Zapornia nigra,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",Unknown
230579349,22693330,Prosobonia leucoptera,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",Unknown
230580264,22692708,Zapornia monasa,FM,"Micronesia, Federated States of ",Extinct Post-1500,Native,"[""Resident""]",Unknown
230907670,62263064,Porphyrio paepae,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
230908300,22728732,Porphyrio kukwiedei,NC,New Caledonia,Extinct Post-1500,Native,"[""Resident""]",Unknown
230909124,22728833,Porphyrio mantelli,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",Unknown
230910452,62274163,Tribonyx hodgenorum,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",
230915546,22732926,Pomarea fluxa,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",Unknown
230916441,22732936,Pomarea nukuhivae,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",Unknown
231059236,22724444,Pomarea pomarea,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",Unknown
235578991,22708835,Turdus ravidus,KY,Cayman Islands,Extinct Post-1500,Native,"[""Resident""]",Unknown
235580956,22698593,Traversia lyalli,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",Unknown
236663133,37924,Fitchia mangarevensis,PF,French Polynesia,Extinct Post-1500,Native,,
236673639,30475,Psychotria adamsonii,PF,French Polynesia,Extinct Post-1500,Native,,
236684638,146907699,Achyranthes mangarevica,PF,French Polynesia,Extinct Post-1500,Native,,
236694411,236694409,Ceodes rapaensis,PF,French Polynesia,Extinct Post-1500,Native,,
238086085,62307504,Eclectus infectus,TO,Tonga,Extinct Post-1500,Native,"[""Resident""]",
238086539,22728673,Cyanoramphus ulietanus,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",Unknown
238886213,22710496,Aplonis corvina,FM,"Micronesia, Federated States of ",Extinct Post-1500,Native,"[""Resident""]",Unknown
241413513,34169,Dendroseris gigantea,CL,Chile,Extinct Post-1500,Native,"[""Resident""]",
228004766,22691056,Pampusana salamonis,SB,Solomon Islands,Extinct Post-1500,Native,"[""Resident""]",Unknown
228008609,22691052,Pampusana ferruginea,VU,Vanuatu,Extinct Post-1500,Native,"[""Resident""]",Unknown
228013744,22691086,Microgoura meeki,SB,Solomon Islands,Extinct Post-1500,Native,"[""Resident""]",Unknown
230926240,22704329,Moho apicalis,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
230929845,22704335,Moho bishopi,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
230938174,22704342,Moho nobilis,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
230941073,22704348,Chaetoptila angustipluma,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
230946240,22704323,Moho braccatus,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
230949308,22705595,Turnagra capensis,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",Unknown
230957445,22728820,Turnagra tanagra,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",Unknown
231049026,22714223,Zosterops strenuus,AU,Australia,Extinct Post-1500,Native,"[""Resident""]",Unknown
231051969,103889155,Zosterops conspicillatus,GU,Guam,Extinct Post-1500,Native,"[""Resident""]",Unknown
238867701,22685182,Cyanoramphus zealandicus,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",Unknown
238869019,22685156,Psephotellus pulcherrimus,AU,Australia,Extinct Post-1500,Native,"[""Resident""]",Unknown
238884608,22710511,Aplonis fusca,AU,Australia,Extinct Post-1500,Native,"[""Resident""]",Unknown
238884608,22710511,Aplonis fusca,NF,Norfolk Island,Extinct Post-1500,Native,"[""Resident""]",Unknown
241563797,103780078,Acrocephalus luscinius,GU,Guam,Extinct Post-1500,Native,"[""Resident""]",Unknown
241570030,103780109,Acrocephalus nijoi,MP,Northern Mariana Islands,Extinct Post-1500,Native,"[""Resident""]",Unknown
241594199,103780103,Acrocephalus yamashinae,MP,Northern Mariana Islands,Extinct Post-1500,Native,"[""Resident""]",Yes
221213270,62286255,Nyctanassa carcinocatactes,BM,Bermuda,Extinct Post-1500,Native,"[""Resident""]",
2443283,196286,Thomasettia seychellana,SC,Seychelles,Extinct Post-1500,Native,"[""Resident""]",
2443290,196288,Pleorotus braueri,SC,Seychelles,Extinct Post-1500,Native,"[""Resident""]",
2443297,196290,Stipax triangulifer,SC,Seychelles,Extinct Post-1500,Native,"[""Resident""]",
5247659,15867,Pacifastacus nigrescens,US,United States,Extinct Post-1500,Native,"[""Resident""]",
6955940,173001,Cyclura onchiopsis,PR,Puerto Rico,Extinct Post-1500,Native,"[""Resident""]",
10304648,40091,Pachnodus velutinus,SC,Seychelles,Extinct Post-1500,Native,"[""Resident""]",
15280799,201488,Spirobolellus praslinus,SC,Seychelles,Extinct Post-1500,Native,"[""Resident""]",
15361621,5438,Cottus echinatus,US,United States,Extinct Post-1500,Native,"[""Resident""]",
15362268,202375,Cyprinodon arcuatus,US,United States,Extinct Post-1500,Native,"[""Resident""]",
15362268,202375,Cyprinodon arcuatus,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
15364173,7705,Empetrichthys merriami,US,United States,Extinct Post-1500,Native,"[""Resident""]",
19005895,787,Alburnus akili,TR,Türkiye,Extinct Post-1500,Native,,
19006085,1848,Anatolichthys splendens,TR,Türkiye,Extinct Post-1500,Native,"[""Resident""]",
19007061,40747,Pseudophoxinus handlirschi,TR,Türkiye,Extinct Post-1500,Native,"[""Resident""]",
19032197,17874,Pogonichthys ciscoides,US,United States,Extinct Post-1500,Native,"[""Resident""]",
19222798,19018670,Alburnus nicaeensis,TR,Türkiye,Extinct Post-1500,Native,"[""Resident""]",
21514465,21460734,Hirstienus nanus,SC,Seychelles,Extinct Post-1500,Native,"[""Resident""]",
21573797,196771,Centrobunus braueri,SC,Seychelles,Extinct Post-1500,Native,"[""Resident""]",
21579740,196768,Sitalcicus gardineri,SC,Seychelles,Extinct Post-1500,Native,"[""Resident""]",
21579916,21460777,Metazalmoxis ferruginea,SC,Seychelles,Extinct Post-1500,Native,"[""Resident""]",
56605215,56605187,Diplazium laffanianum,BM,Bermuda,Extinct Post-1500,Native,"[""Resident""]",
61481721,39087,Blutaparon rigidum,EC,Ecuador,Extinct Post-1500,Native,,
2990995,43927,Sporobolus durus,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,,
62798340,62798337,Stellaria elatinoides,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",
2612719,199821,Acalypha wilderi,CK,Cook Islands,Extinct Post-1500,Native,"[""Resident""]",
2706765,201472,Eucarlia alluaudi,SC,Seychelles,Extinct Post-1500,Native,"[""Resident""]",
2706821,201484,Orthomorpha crinita,SC,Seychelles,Possibly Extinct,Native,"[""Resident""]",
10854084,44056,Cyrtandra waiolani,US,United States,Extinct Post-1500,Native,,
10847953,44074,Achyranthes atollensis,US,United States,Extinct Post-1500,Native,,
10856873,44109,Cyanea pinnatifida,US,United States,Extinct Post-1500,Native,,
10863009,44135,Cyanea superba,US,United States,Extinct Post-1500,Native,,
3149101,9023,Chelonoidis niger,EC,Ecuador,Extinct Post-1500,Native,"[""Resident""]",
20887241,18384,Prototroctes oxyrhynchus,NZ,New Zealand,Extinct Post-1500,Native,,
21424260,6862,Dryophthorus distinguendus,US,United States,Extinct Post-1500,Native,,
21424379,15144,Oodemas laysanensis,US,United States,Extinct Post-1500,Native,,
21425735,11073,Labidura herculeana,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,"[""Resident""]",
47242030,61247,Barbus microbarbis,RW,Rwanda,Extinct Post-1500,Native,,
58297104,15949,Pantanodon madagascariensis,MG,Madagascar,Extinct Post-1500,Native,,
58308545,44504,Ptychochromis onilahy,MG,Madagascar,Extinct Post-1500,Native,,
63488710,63488699,Contomastix charrua,UY,Uruguay,Extinct Post-1500,Native,"[""Resident""]",
69555490,22693621,Haematopus meadewaldoi,ES,Spain,Extinct Post-1500,Native,"[""Breeding Season""]",Unknown
69555490,22693621,Haematopus meadewaldoi,PT,Portugal,Extinct Post-1500,Vagrant,"[""Non-Breeding Season""]",
79863496,79862904,Delissea subcordata,US,United States,Extinct Post-1500,Native,"[""Resident""]",
97909122,97909097,Schiedea amplexicaulis,US,United States,Extinct Post-1500,Native,"[""Resident""]",
83321765,11559,Lepidodactylus listeri,CX,Christmas Island,Extinct Post-1500,Native,,
2990410,43923,Oldenlandia adscensionis,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,,
22281556,14676,Nesophontes zamicrus,HT,Haiti,Extinct Post-1500,Native,,
99166539,97111002,Calathus vicenteorum,PT,Portugal,Extinct Post-1500,Native,"[""Resident""]",Yes
101442020,44072,Acaena exigua,US,United States,Extinct Post-1500,Native,"[""Resident""]",
101749951,178595,Emoia nativitatis,CX,Christmas Island,Extinct Post-1500,Native,"[""Resident""]",
102327566,102327291,Cryptoblepharus egeriae,CX,Christmas Island,Extinct Post-1500,Native,"[""Resident""]",
115104581,12081,Erythrolamprus perfuscus,BB,Barbados,Extinct Post-1500,Native,,
115396604,47102774,Copeoglossum redondae,AG,Antigua and Barbuda,Extinct Post-1500,Native,"[""Resident""]",
115496789,78777637,Cyanea sessilifolia,US,United States,Extinct Post-1500,Native,"[""Resident""]",
119211257,103682916,Pyrocephalus dubius,EC,Ecuador,Extinct Post-1500,Native,"[""Resident""]",Yes
62798350,62798347,Trilepidea adamsii,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",
2989932,43920,Dryopteris ascensionis,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,,
22205792,3121,Brotomys voratus,DO,Dominican Republic,Extinct Post-1500,Native,,
22205792,3121,Brotomys voratus,HT,Haiti,Extinct Post-1500,Native,,
22281466,41313,Nesophontes edithae,PR,Puerto Rico,Extinct Post-1500,Native,,
22281466,41313,Nesophontes edithae,VI,"Virgin Islands, U.S.",Extinct Post-1500,Native,,
21424429,19724,Rhyncogonus bryani,US,United States,Extinct Post-1500,Native,"[""Resident""]",
22281785,136381,Nesophontes major,CU,Cuba,Extinct Post-1500,Native,,
83790877,44096,Cyanea eleeleensis,US,United States,Extinct Post-1500,Native,,
67371983,30560,Trochetiopsis erythroxylon,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,"[""Resident""]",
91172534,91172490,Cyanea minutiflora,US,United States,Extinct Post-1500,Native,"[""Resident""]",
22388029,136540,Oryzomys antillarum,JM,Jamaica,Extinct Post-1500,Native,,
22388135,15583,Oryzomys nelsoni,MX,Mexico,Extinct Post-1500,Native,,
91172818,91172805,Cyanea parvifolia,US,United States,Extinct Post-1500,Native,"[""Resident""]",
79862750,34039,Delissea niihauensis,US,United States,Extinct Post-1500,Native,"[""Resident""]",
22377057,12980,Megalomys desmarestii,MQ,Martinique,Extinct Post-1500,Native,,
67379134,67379124,Heliotropium pannifolium,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,"[""Resident""]",
67372085,30561,Trochetiopsis melanoxylon,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,"[""Resident""]",
64303734,4639,Chilonopsis nonpareil,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,"[""Resident""]",
67371775,37854,Acalypha rubrinervis,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,"[""Resident""]",
97910101,97910096,Wikstroemia hanalei,US,United States,Extinct Post-1500,Native,"[""Resident""]",
97908365,97908360,Sanicula kauaiensis,US,United States,Extinct Post-1500,Native,"[""Resident""]",
22281724,14672,Nesophontes hypomicrus,DO,Dominican Republic,Extinct Post-1500,Native,,
22281724,14672,Nesophontes hypomicrus,HT,Haiti,Extinct Post-1500,Native,,
22377126,12981,Megalomys luciae,LC,Saint Lucia,Extinct Post-1500,Native,,
67370818,37595,Lachanodes arborea,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,"[""Resident""]",
67372241,37598,Nesiota elliptica,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,"[""Resident""]",
122926208,122926206,Abutilon pitcairnense,PN,Pitcairn,Extinct Post-1500,Native,"[""Resident""]",
82337485,82337482,Dusicyon avus,UY,Uruguay,Extinct Post-1500,Native,"[""Resident""]",
82337485,82337482,Dusicyon avus,CL,Chile,Extinct Post-1500,Native,"[""Resident""]",
82337485,82337482,Dusicyon avus,BR,Brazil,Extinct Post-1500,Native,"[""Resident""]",
82337485,82337482,Dusicyon avus,AR,Argentina,Extinct Post-1500,Native,"[""Resident""]",
94048187,22706052,Corvus hawaiiensis,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
103193535,103192401,Tokea orthostichon,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",
115387556,44579175,Alinea luciae,LC,Saint Lucia,Extinct Post-1500,Native,"[""Resident""]",
22281668,14674,Nesophontes paramicrus,HT,Haiti,Extinct Post-1500,Native,,
91172324,91172297,Cyanea linearifolia,US,United States,Extinct Post-1500,Native,"[""Resident""]",
91178537,91178520,Cyrtandra olona,US,United States,Extinct Post-1500,Native,"[""Resident""]",
91177028,91177012,Cyperus rockii,US,United States,Extinct Post-1500,Native,"[""Resident""]",
22281612,14673,Nesophontes micrus,CU,Cuba,Extinct Post-1500,Native,,
62798308,62798304,Logania depressa,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",
949794,16280,Partula salifana,GU,Guam,Extinct Post-1500,Native,"[""Resident""]",
102426004,102425998,Partula magistri,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
102426039,102426035,Partula clarkei,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
103142636,103142290,Partula auriculata,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
103142935,103142760,Partula dentifera,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
103159915,103159873,Partula lugubris,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
103163529,103163335,Partula diminuta,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
112361404,16288,Partula faba,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
112361870,16307,Partula cuneata,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
112362293,16330,Partula tristis,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
119135343,16276,Partula langfordi,MP,Northern Mariana Islands,Extinct Post-1500,Native,"[""Resident""]",
102425916,102425893,Partula pearcekellyi,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
119135957,16331,Partula turgida,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
137328770,19948,Scardinius racovitzai,RO,Romania,Extinct Post-1500,Native,"[""Resident""]",Yes
137331529,135414,Salvelinus inframundus,GB,United Kingdom,Extinct Post-1500,Native,"[""Resident""]",Yes
209512755,103823664,Hemignathus affinis,US,United States,Extinct Post-1500,Native,"[""Resident""]",
209950103,22727515,Coenocorypha iredalei,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",
230913278,22697307,Ixobrychus novaezelandiae,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",
231057904,22707354,Myiagra freycineti,GU,Guam,Extinct Post-1500,Native,"[""Resident""]",Unknown
244247004,103824105,Loxops wolstenholmei,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
243935542,103780156,Acrocephalus astrolabii,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
243950218,22735592,Acrocephalus musae,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",Unknown
243955451,103829706,Himatione fraithii,US,United States,Extinct Post-1500,Native,"[""Resident""]",Yes
243957534,22720840,Ciridops anna,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
243963448,22720848,Drepanis pacifica,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
244230219,22720852,Drepanis funerea,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
244234437,22720749,Rhodacanthis palmeri,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
244237698,22720745,Rhodacanthis flaviceps,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
244243595,22728825,Chloridops kona,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
244842689,103823250,Akialoa stejnegeri,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
244849755,22720738,Dysmorodrepanis munroi,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
244853122,22728910,Akialoa obscura,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
244860824,103823431,Akialoa lanaiensis,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
244864865,103823212,Akialoa ellisiana,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
245715946,22720823,Paroreomyza flammea,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
245721556,22708564,Myadestes woahensis,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
245724773,22708559,Myadestes myadestinus,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
245733733,22708091,Heteralocha acutirostris,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",Unknown
246095386,22710499,Aplonis mavornata,CK,Cook Islands,Extinct Post-1500,Native,"[""Resident""]",Unknown
246097401,22734867,Aplonis ulietensis,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
246108014,22728902,Poodytes rufescens,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",Unknown
246157981,22704724,Gerygone insularis,AU,Australia,Extinct Post-1500,Native,"[""Resident""]",Unknown
246163701,22728814,Anthornis melanocephala,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",Unknown
246178545,22689496,Ninox albifacies,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",Unknown
246199261,62178398,Coenocorypha barrierensis,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",
246202198,62289108,Prosobonia cancellata,KI,Kiribati,Extinct Post-1500,Native,"[""Resident""]",
246204162,22728772,Prosobonia ellisi,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",Yes
246374796,22728658,Alopochen mauritiana,MU,Mauritius,Extinct Post-1500,Native,"[""Resident""]",Yes
248950875,22720734,Psittirostra psittacea,US,United States,Extinct Post-1500,Native,"[""Resident""]",Yes
250085125,22714229,Zosterops albogularis,NF,Norfolk Island,Extinct Post-1500,Native,"[""Resident""]",Unknown
250432785,103823616,Hemignathus hanapepe,US,United States,Extinct Post-1500,Native,"[""Resident""]",Yes
250520617,103824084,Loxops ochraceus,US,United States,Extinct Post-1500,Native,"[""Resident""]",
252734800,22729490,Alopochen kervazoi,RE,Réunion,Extinct Post-1500,Native,"[""Resident""]",Unknown
254614193,11633,Leporillus apicalis,AU,Australia,Extinct Post-1500,Native,"[""Resident""]",
261858995,22728666,Anas marecula,TF,French Southern Territories,Extinct Post-1500,Native,"[""Resident""]",Yes
261860542,62254534,Columba thiriouxi,MU,Mauritius,Extinct Post-1500,Native,"[""Resident""]",
261897803,22728712,Nesoenas duboisi,RE,Réunion,Extinct Post-1500,Native,"[""Resident""]",Yes
261900726,62257034,Nesoenas cicur,MU,Mauritius,Extinct Post-1500,Native,"[""Resident""]",
261913120,22728722,Nesoenas rodericanus,MU,Mauritius,Extinct Post-1500,Native,"[""Resident""]",Yes
261916273,22690059,Raphus cucullatus,MU,Mauritius,Extinct Post-1500,Native,"[""Resident""]",Yes
261927718,22690062,Pezophaps solitaria,MU,Mauritius,Extinct Post-1500,Native,"[""Resident""]",Yes
261969150,22691601,Alectroenas nitidissimus,MU,Mauritius,Extinct Post-1500,Native,"[""Resident""]",Yes
261973331,62759683,Alectroenas payandeei,MU,Mauritius,Extinct Post-1500,Native,"[""Resident""]",
261974345,22684143,Coua delalandei,MG,Madagascar,Extinct Post-1500,Native,"[""Resident""]",Yes
261986737,22728754,Laterallus podarces,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,"[""Resident""]",Yes
262001031,22728746,Mundia elpenor,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,"[""Resident""]",Unknown
262002629,22728760,Zapornia astrictocarpus,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,"[""Resident""]",Unknown
262189688,22728726,Porphyrio caerulescens,RE,Réunion,Extinct Post-1500,Native,"[""Resident""]",Yes
262209629,22728763,Gallinula nesiotis,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,"[""Resident""]",Yes
262219759,22728769,Fulica newtonii,MU,Mauritius,Extinct Post-1500,Native,"[""Resident""]",Yes
262219759,22728769,Fulica newtonii,RE,Réunion,Extinct Post-1500,Native,"[""Resident""]",Yes
262222743,22728800,Pterodroma rupinarum,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,"[""Resident""]",Yes
262268997,22728804,Bulweria bifax,SH,"Saint Helena, Ascension and Tristan da Cunha",Extinct Post-1500,Native,"[""Resident""]",Yes
262272153,22728791,Threskiornis solitarius,RE,Réunion,Extinct Post-1500,Native,"[""Resident""]",Yes
262274485,22728781,Nycticorax duboisi,RE,Réunion,Extinct Post-1500,Native,"[""Resident""]",Yes
262276501,22728777,Nycticorax mauritianus,MU,Mauritius,Extinct Post-1500,Native,"[""Resident""]",Yes
262277571,22728787,Nycticorax megacephalus,MU,Mauritius,Extinct Post-1500,Native,"[""Resident""]",Yes
